step,pain,instability,need_for_control,cognitive_load,neurochem_balance,fatigue,env_stress,reg_relief,nut_support,temperature,confinement,social_contact,noise_level,light_level,breathing,cognitive_override,pharmacology,meditation,exercise,glucose_level,tryptophan,tyrosine,hydration,vitamin_b12
1,0.2848679426387954,0.33484031492091554,0.4888853207001175,0.3506967362498905,0.7769024257216867,0.2154675994000022,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
2,0.32562494119070307,0.3224687149204738,0.5516044590355291,0.3159151940453257,0.9463715924838394,0.13267607558777716,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
3,0.3374964534951612,0.2979699680441588,0.597068146491344,0.28128969787112557,1.0,0.027801619686124837,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
4,0.3285063566603988,0.2578633506414312,0.6428714851182508,0.24740036017430658,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
5,0.31546670543064814,0.21308665712882022,0.6743411804131495,0.19963438660892524,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
6,0.28641730589628595,0.15946928194769583,0.6895512836861826,0.1506225219966007,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
7,0.2618255972697623,0.08834105526751151,0.7011471166682546,0.09851465738862052,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
8,0.2323982521076905,0.017235052254403322,0.6950515459514397,0.02694390151489857,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
9,0.18304755826552888,0.0,0.6889630136583973,0.0,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
10,0.12851956315014731,0.0,0.6844981973613438,0.0,1.0,0.0,0.3175,0.27,0.7949999999999999,23.0,0.2,0.55,0.3,0.5,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7
