step,pain,instability,need_for_control,cognitive_load,neurochem_balance,fatigue,env_stress,reg_relief,nut_support,temperature,confinement,social_contact,noise_level,light_level,breathing,cognitive_override,pharmacology,meditation,exercise,glucose_level,tryptophan,tyrosine,hydration,vitamin_b12,motive,ability,dispersion
1,0.6206026505231025,0.3279580644626518,0.5246755641574727,0.4341011795417013,0.7724924582650945,0.25683211600507755,0.3252449201163032,0.27,0.7949999999999999,23.004487020207527,0.2385536897668759,0.5674015580655754,0.310035730850374,0.4975057013199637,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.353346275361822,0.36463724535928144,0.6603549757545428
2,0.5313526252580627,0.31291762198102796,0.5801189621648434,0.44261218885009396,0.8521381358785214,0.2227391300748471,0.32349525005490404,0.27,0.7949999999999999,23.010114267069067,0.23688232899160416,0.5606228402696469,0.3080593552561983,0.48555182567992017,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.3246560035912563,0.40478739082388915,0.6629361668340534
3,0.46221808086068633,0.3023392824875246,0.6045902848321704,0.4331121924961437,0.8706787163536251,0.2007303610048163,0.32779954628690466,0.27,0.7949999999999999,23.024496276096837,0.24216797104926857,0.5552147012997409,0.30070301796485377,0.5011560267993516,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.3023281892197102,0.42443843524840674,0.6618598632404552
4,0.40574686185426495,0.2765616386584202,0.6102684993265062,0.41542215081915546,0.885878373675515,0.19509522142089308,0.3225185057289154,0.27,0.7949999999999999,23.040534819793415,0.24159391889717274,0.5751720882058969,0.2892908072263637,0.5054346142707203,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.28448527427920395,0.4394466120522422,0.6555552507875576
5,0.36492511831540525,0.25979737438228556,0.6119178042106531,0.3788278301530221,0.890036937271813,0.16726497522779898,0.3136074100195581,0.27,0.7949999999999999,23.01716105809015,0.24242399841047524,0.5896587214990394,0.2876938944502255,0.47797028655062235,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.2698084880781592,0.45642444684074585,0.649634693881534
6,0.3183325199053254,0.22640333979792956,0.6071083769088683,0.33154638114904783,0.8912686344751858,0.15561586945260505,0.3176816373668513,0.27,0.7949999999999999,22.986275283038697,0.24206910149163055,0.5749633226548438,0.29523055230607104,0.47925549305260495,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.2511703552365793,0.47215327758775444,0.6373533216341772
7,0.2727781022372303,0.1894376246272096,0.5883630420009966,0.28438397970090085,0.9011123863153345,0.13654170457484513,0.3261281602753281,0.27,0.7949999999999999,23.018148524993713,0.24737791249008412,0.5484333732017812,0.290675735789233,0.4900880522396337,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.23737661914545904,0.4915288870606036,0.6252039190616328
8,0.24783525605476803,0.15962704303917147,0.5647505749166333,0.24267273666726427,0.8996761575990677,0.11117510793956838,0.32415817521841667,0.27,0.7949999999999999,22.965747763041705,0.24664529951692155,0.5593965482487201,0.29653044359422687,0.4908474270842753,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.232146120453356,0.5046853928085183,0.6155888024584804
9,0.22302456322345748,0.1384144688895276,0.5441301550393621,0.19524673648877863,0.8922880689230732,0.10048665393925287,0.331914025025758,0.27,0.7949999999999999,22.985404502004286,0.2588298566115358,0.5629072087326695,0.3048341424682313,0.5078829767034335,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.22203933756959332,0.514165926001314,0.6067689912144778
10,0.21142646889029199,0.12402493608800896,0.5249942597557107,0.15764820458616066,0.9155100770257153,0.09708607208864338,0.3302836152547541,0.27,0.7949999999999999,22.932948578710782,0.2611119114315966,0.5729562020566945,0.3202625198951436,0.49608886850863204,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.21412726758762402,0.5270657301869559,0.6020897118071253
11,0.18841545869440754,0.11505682015520943,0.500015096509206,0.1312368561868481,0.9122604895915184,0.09260995905022618,0.3322059069424216,0.27,0.7949999999999999,22.947304880344856,0.24856109691370598,0.5841846038770981,0.34752131920409457,0.504102271212804,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.20535907110608184,0.5334917890279272,0.5965752787484342
12,0.16895160095495504,0.09712907351305797,0.48440174159411387,0.09094343476481828,0.9098445576068119,0.08617811104784254,0.3344906629700018,0.27,0.7949999999999999,22.93984216227832,0.2578844324779994,0.5797879851841596,0.338195342821113,0.509454227416203,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.19552368544424287,0.540712748492389,0.5900200776018131
13,0.16088129364016376,0.1040416778410797,0.4686823454475164,0.074407774122074,0.912357868858498,0.08484802111502589,0.32882113259506995,0.27,0.7949999999999999,22.92889600800494,0.26147736775071845,0.5835024092205839,0.3257906642660809,0.4936922975410224,0.3,0.3,0.0,0.25,0.1,0.7,0.5,0.5,0.85,0.7,0.190774396735665,0.5440734004846446,0.5909788704910759
